time_utc,p10,p50,p90
2026-07-17 22:00:00+00:00,14955.0,15545.0,16116.8
2026-07-17 23:00:00+00:00,14295.6,14885.5,15457.4
2026-07-18 00:00:00+00:00,13807.9,14397.8,14969.7
2026-07-18 01:00:00+00:00,13454.7,14044.7,14616.5
2026-07-18 02:00:00+00:00,13237.6,13827.6,14399.4
2026-07-18 03:00:00+00:00,13214.4,13804.4,14376.2
2026-07-18 04:00:00+00:00,14124.7,14714.7,15286.5
2026-07-18 05:00:00+00:00,14822.8,15412.7,15984.6
2026-07-18 06:00:00+00:00,15594.4,16184.4,16756.2
2026-07-18 07:00:00+00:00,16206.1,16796.0,17367.9
2026-07-18 08:00:00+00:00,16888.0,17478.0,18049.9
2026-07-18 09:00:00+00:00,17204.2,17794.2,18366.1
2026-07-18 10:00:00+00:00,17193.7,17783.6,18355.5
2026-07-18 11:00:00+00:00,17191.4,17781.4,18353.2
2026-07-18 12:00:00+00:00,16819.4,17409.3,17981.2
2026-07-18 13:00:00+00:00,16716.5,17306.4,17878.3
2026-07-18 14:00:00+00:00,16916.5,17506.5,18078.3
2026-07-18 15:00:00+00:00,17052.9,17642.9,18214.7
2026-07-18 16:00:00+00:00,17171.0,17761.0,18332.8
2026-07-18 17:00:00+00:00,17007.2,17597.2,18169.0
2026-07-18 18:00:00+00:00,16558.9,17148.9,17720.7
2026-07-18 19:00:00+00:00,16096.3,16686.2,17258.1
2026-07-18 20:00:00+00:00,15208.7,15798.6,16370.5
2026-07-18 21:00:00+00:00,13992.6,14582.6,15154.4
