time_utc,p10,p50,p90
2026-07-25 22:00:00+00:00,13326.1,13972.9,15050.4
2026-07-25 23:00:00+00:00,12606.8,13214.1,14172.4
2026-07-26 00:00:00+00:00,12178.2,12631.5,13602.8
2026-07-26 01:00:00+00:00,12016.7,12298.9,13219.5
2026-07-26 02:00:00+00:00,11842.3,12153.5,12846.2
2026-07-26 03:00:00+00:00,11848.3,12014.9,12927.9
2026-07-26 04:00:00+00:00,12356.1,12555.4,13696.0
2026-07-26 05:00:00+00:00,12988.9,13258.0,14514.3
2026-07-26 06:00:00+00:00,13755.0,13845.8,15341.8
2026-07-26 07:00:00+00:00,14511.8,14462.6,16120.3
2026-07-26 08:00:00+00:00,15021.9,14901.0,16590.8
2026-07-26 09:00:00+00:00,15526.1,16285.1,17219.5
2026-07-26 10:00:00+00:00,15478.8,16337.8,17703.7
2026-07-26 11:00:00+00:00,15290.1,15135.6,17534.5
2026-07-26 12:00:00+00:00,15319.6,15445.0,17188.2
2026-07-26 13:00:00+00:00,15229.0,15269.6,16842.9
2026-07-26 14:00:00+00:00,14851.7,14850.7,17296.0
2026-07-26 15:00:00+00:00,15239.8,15908.5,17819.8
2026-07-26 16:00:00+00:00,15410.6,16098.3,18373.3
2026-07-26 17:00:00+00:00,15646.1,16160.5,18564.1
2026-07-26 18:00:00+00:00,15586.9,16212.2,18069.8
2026-07-26 19:00:00+00:00,15449.5,16003.2,17847.0
2026-07-26 20:00:00+00:00,14768.7,15312.5,17165.3
2026-07-26 21:00:00+00:00,13845.0,14339.8,15877.5
