time_utc,p10,p50,p90
2026-07-28 22:00:00+00:00,115.74,153.10,164.37
2026-07-28 23:00:00+00:00,109.10,145.24,160.56
2026-07-29 00:00:00+00:00,101.86,132.71,153.66
2026-07-29 01:00:00+00:00,101.61,132.67,155.68
2026-07-29 02:00:00+00:00,100.73,133.98,157.75
2026-07-29 03:00:00+00:00,106.74,143.16,158.66
2026-07-29 04:00:00+00:00,116.76,153.11,163.17
2026-07-29 05:00:00+00:00,120.01,153.79,163.85
2026-07-29 06:00:00+00:00,56.98,113.66,138.22
2026-07-29 07:00:00+00:00,16.61,50.68,97.93
2026-07-29 08:00:00+00:00,-5.86,18.95,69.89
2026-07-29 09:00:00+00:00,-6.37,9.23,52.55
2026-07-29 10:00:00+00:00,-8.11,4.42,51.91
2026-07-29 11:00:00+00:00,-9.38,2.71,52.54
2026-07-29 12:00:00+00:00,-8.24,8.06,51.95
2026-07-29 13:00:00+00:00,-9.54,21.86,66.92
2026-07-29 14:00:00+00:00,28.67,68.20,96.19
2026-07-29 15:00:00+00:00,70.72,111.25,135.03
2026-07-29 16:00:00+00:00,126.62,154.65,164.72
2026-07-29 17:00:00+00:00,149.76,191.31,224.36
2026-07-29 18:00:00+00:00,153.52,208.83,291.14
2026-07-29 19:00:00+00:00,151.35,196.38,256.05
2026-07-29 20:00:00+00:00,144.70,178.89,222.70
2026-07-29 21:00:00+00:00,133.69,169.46,198.06
