time_utc,p10,p50,p90
2026-08-03 22:00:00+00:00,129.10,143.45,160.65
2026-08-03 23:00:00+00:00,121.84,136.29,152.74
2026-08-04 00:00:00+00:00,116.70,130.53,145.70
2026-08-04 01:00:00+00:00,115.55,129.26,145.41
2026-08-04 02:00:00+00:00,116.49,130.42,146.28
2026-08-04 03:00:00+00:00,116.86,132.08,149.51
2026-08-04 04:00:00+00:00,131.23,155.28,189.63
2026-08-04 05:00:00+00:00,146.83,180.52,233.88
2026-08-04 06:00:00+00:00,118.60,140.46,174.79
2026-08-04 07:00:00+00:00,91.75,110.09,132.58
2026-08-04 08:00:00+00:00,55.37,84.29,107.53
2026-08-04 09:00:00+00:00,44.43,77.36,101.75
2026-08-04 10:00:00+00:00,39.24,71.73,95.04
2026-08-04 11:00:00+00:00,42.76,74.48,97.70
2026-08-04 12:00:00+00:00,53.95,81.11,104.80
2026-08-04 13:00:00+00:00,68.48,92.97,114.92
2026-08-04 14:00:00+00:00,86.58,108.84,131.27
2026-08-04 15:00:00+00:00,112.51,135.20,165.90
2026-08-04 16:00:00+00:00,175.30,229.89,317.89
2026-08-04 17:00:00+00:00,261.78,368.20,564.52
2026-08-04 18:00:00+00:00,215.72,290.13,420.25
2026-08-04 19:00:00+00:00,166.09,202.35,259.28
2026-08-04 20:00:00+00:00,139.97,163.25,191.44
2026-08-04 21:00:00+00:00,125.82,144.25,167.04
