config,patch_len,stride,ctx,val_pinball
patch48_s24_ctx2016,48,24,2016,793.2238159179688
patch48_s12_ctx2016,48,12,2016,814.12646484375
patch48_s6_ctx1344,48,6,1344,862.219482421875
patch12_s6_ctx672,12,6,672,879.7482299804688
patch48_s12_ctx672,48,12,672,958.03759765625
patch48_s12_ctx1344,48,12,1344,1031.4075927734375
patch48_s24_ctx1344,48,24,1344,1175.3594970703125
patch12_s12_ctx1344,12,12,1344,1579.5921630859375
patch24_s12_ctx2016,24,12,2016,1719.723388671875
patch24_s24_ctx2016,24,24,2016,1734.27099609375
patch12_s12_ctx672,12,12,672,1780.1278076171875
patch12_s24_ctx672,12,24,672,1850.837646484375
patch12_s6_ctx1344,12,6,1344,1989.807373046875
patch12_s24_ctx1344,12,24,1344,1989.8192138671875
patch24_s12_ctx672,24,12,672,1989.82666015625
patch12_s12_ctx2016,12,12,2016,2089.025146484375
patch12_s24_ctx2016,12,24,2016,2157.634521484375
patch24_s24_ctx1344,24,24,1344,2285.4443359375
patch24_s12_ctx1344,24,12,1344,2313.012939453125
patch24_s6_ctx672,24,6,672,2491.011474609375
patch48_s6_ctx672,48,6,672,2699.383544921875
patch24_s6_ctx1344,24,6,1344,2772.181640625
patch48_s24_ctx672,48,24,672,3288.927001953125
patch24_s24_ctx672,24,24,672,3404.614501953125
