number,value,datetime_start,datetime_complete,duration,params_batch,params_d_model,params_dropout,params_encoder_hours,params_lr,params_lstm_layers,params_n_heads,state
56,0.11570928245782852,2026-07-17 15:26:47.698233,2026-07-17 15:28:51.551285,0 days 00:02:03.853052,32,128,0.1829168556254403,1344,0.0017425197272885047,2,8,COMPLETE
58,0.11623738706111908,2026-07-17 15:29:53.436965,2026-07-17 15:31:57.201351,0 days 00:02:03.764386,32,128,0.15389992543898437,1344,0.0019458288527583953,2,8,COMPLETE
54,0.11655456572771072,2026-07-17 15:22:34.435307,2026-07-17 15:24:43.904242,0 days 00:02:09.468935,32,128,0.18559670196118855,1344,0.0018943921598840916,2,8,COMPLETE
55,0.11664921790361404,2026-07-17 15:24:43.907960,2026-07-17 15:26:47.695366,0 days 00:02:03.787406,32,128,0.1904196845334578,1344,0.0018435625191345368,2,8,COMPLETE
49,0.11760449409484863,2026-07-17 15:13:27.611312,2026-07-17 15:15:00.353196,0 days 00:01:32.741884,32,128,0.20186929440004442,1344,0.0014524132411973024,1,8,COMPLETE
16,0.11835325509309769,2026-07-17 14:29:43.999265,2026-07-17 14:31:46.054153,0 days 00:02:02.054888,16,32,0.21544255365432424,1008,0.0010810790582039354,1,2,COMPLETE
8,0.11839540302753448,2026-07-17 14:09:16.563110,2026-07-17 14:14:23.087282,0 days 00:05:06.524172,16,64,0.05173803263279768,2016,0.00046184639800512974,2,8,COMPLETE
60,0.11887307465076447,2026-07-17 15:32:59.181592,2026-07-17 15:35:10.487678,0 days 00:02:11.306086,32,128,0.18047484075897477,1344,0.0016488639057200198,2,8,COMPLETE
51,0.1195116639137268,2026-07-17 15:16:31.555578,2026-07-17 15:19:01.034226,0 days 00:02:29.478648,32,128,0.21190412369324912,1344,0.0014694651459251661,2,8,COMPLETE
53,0.11964315921068192,2026-07-17 15:20:24.180090,2026-07-17 15:22:34.432426,0 days 00:02:10.252336,32,128,0.194891633670609,1344,0.0019367151351844213,2,8,COMPLETE
57,0.12049300223588943,2026-07-17 15:28:51.555812,2026-07-17 15:29:53.433611,0 days 00:01:01.877799,32,128,0.18243992307209822,1344,0.0017441601785543272,2,8,COMPLETE
23,0.12083788216114044,2026-07-17 14:37:30.118431,2026-07-17 14:40:08.815090,0 days 00:02:38.696659,16,32,0.08784472099271573,2016,0.0005707391749079788,1,2,COMPLETE
61,0.12092197686433792,2026-07-17 15:35:10.493961,2026-07-17 15:37:43.215494,0 days 00:02:32.721533,32,128,0.20681654122337234,1344,0.0012971541723322162,2,8,COMPLETE
52,0.12183551490306854,2026-07-17 15:19:01.038235,2026-07-17 15:20:24.175189,0 days 00:01:23.136954,32,128,0.2016635650965487,1344,0.0015177496493736353,2,8,COMPLETE
47,0.12234856933355331,2026-07-17 15:11:23.100678,2026-07-17 15:12:38.261811,0 days 00:01:15.161133,32,64,0.16393253016789514,2016,0.001415671370358388,1,8,COMPLETE
50,0.12258078902959824,2026-07-17 15:15:00.357409,2026-07-17 15:16:31.550925,0 days 00:01:31.193516,32,128,0.22008578629477754,1344,0.0013914239124542217,2,8,COMPLETE
44,0.12281987071037292,2026-07-17 15:08:08.244348,2026-07-17 15:09:29.935025,0 days 00:01:21.690677,32,32,0.09957174980210193,2016,0.0011456488964539486,1,8,COMPLETE
29,0.12294574081897736,2026-07-17 14:45:27.020718,2026-07-17 14:48:18.707381,0 days 00:02:51.686663,16,64,0.08737687605348925,2016,0.00028161286014656404,1,4,COMPLETE
6,0.12297765910625458,2026-07-17 14:03:29.525056,2026-07-17 14:08:30.606118,0 days 00:05:01.081062,64,32,0.07989856148457543,2016,0.0008471354625326559,1,8,COMPLETE
19,0.12317637354135513,2026-07-17 14:33:51.497777,2026-07-17 14:35:29.023277,0 days 00:01:37.525500,16,96,0.2520494019557852,1344,0.00028623706812306454,1,2,COMPLETE
25,0.12373042106628418,2026-07-17 14:41:06.495748,2026-07-17 14:42:46.258549,0 days 00:01:39.762801,16,64,0.16765773060455855,2016,0.0006817510640716782,1,2,COMPLETE
33,0.12419357895851135,2026-07-17 14:53:29.704592,2026-07-17 14:56:21.005139,0 days 00:02:51.300547,16,64,0.08774202716038312,2016,0.0003087868083958327,1,4,COMPLETE
59,0.12455934286117554,2026-07-17 15:31:57.204301,2026-07-17 15:32:59.178270,0 days 00:01:01.973969,32,128,0.15642780739292222,1344,0.0019146021766094624,2,8,COMPLETE
14,0.12501785159111023,2026-07-17 14:26:18.468669,2026-07-17 14:28:21.220339,0 days 00:02:02.751670,16,128,0.05638737370263579,2016,0.0009842613907521177,1,8,COMPLETE
46,0.12521417438983917,2026-07-17 15:10:26.644619,2026-07-17 15:11:23.097824,0 days 00:00:56.453205,32,32,0.12243347237864234,2016,0.001168962502684977,1,8,COMPLETE
