config,stage,mae,rmse,pinball_p10,pinball_p50,pinball_p90,coverage_80_pct,winkler,spike_mae,spike_cover_pct,n_hours
control,screen,17.61622703326262,26.662010421227098,4.550326927605937,8.80811351663131,5.506211502218259,52.70795246800731,100.56538429824198,57.94237383718172,33.10502283105023,8752.0
leaves31,screen,17.786050373331793,26.813630241481377,4.366709515710086,8.893025186665897,5.3023912817480126,57.1526508226691,96.69100797458101,58.79703563586202,36.986301369863014,8752.0
leaves127,screen,17.61486580116538,26.625672293701296,4.650725430890383,8.80743290058269,5.696940239776733,49.81718464351005,103.4766567066712,57.208919357713775,31.27853881278539,8752.0
leaves255_depth8,screen,17.676211855137975,26.815451472773084,4.607617935633794,8.838105927568987,5.560784941990763,51.48537477148081,101.6840287762456,58.08486055473478,34.47488584474886,8752.0
minchild20,screen,17.703778640182776,26.633318183521368,4.682789726354269,8.851889320091388,5.516883461846592,52.822212065813524,101.99673188200863,57.347921539138326,31.7351598173516,8752.0
minchild80,screen,17.808390431702463,26.828199528714148,4.428646538878598,8.904195215851232,5.527427826208395,52.91361974405851,99.56074365086995,59.222845619934,36.986301369863014,8752.0
lr03_n1000,screen,17.535076943736357,26.428912321792122,4.526193682137396,8.767538471868178,5.5972660005589585,51.22257769652651,101.23459682696355,57.45982470890651,33.10502283105023,8752.0
lr02_n1500,screen,17.552936904584193,26.480649973878467,4.545920313775298,8.776468452292097,5.561992762175211,51.336837294332724,101.07913075950509,57.62389810724748,33.10502283105023,8752.0
colsample07,screen,17.687743271534146,26.558439429163393,4.625983394129197,8.843871635767073,5.615616393300786,52.41087751371115,102.41599787429985,57.501057545737716,29.908675799086758,8752.0
subsample07,screen,17.74264423312039,26.728605369815657,4.426668362636083,8.871322116560195,5.505791964315074,53.33638025594149,99.32460326951158,57.840363710813776,35.38812785388128,8752.0
l1_1,screen,17.61898516263288,26.659598519882746,4.536813288100521,8.80949258131644,5.57655720144428,52.38802559414991,101.13370489544802,58.248285022922786,35.15981735159817,8752.0
l2_5,screen,17.643235534904175,26.508323892212715,4.562956497284253,8.821617767452087,5.602964363221909,52.50228519195612,101.65920860506162,57.7636784155352,33.789954337899545,8752.0
combo_deep_slow,screen,17.62047642931964,26.682379220949976,4.814787427843743,8.81023821465982,5.773831075571696,47.74908592321755,105.8861850341544,57.56726106477827,28.08219178082192,8752.0
noloadlags,screen,17.706359549680826,26.64272908551445,4.46515199028718,8.853179774840413,5.628997212580555,51.953839122486286,100.94149202867735,58.25731637218365,33.56164383561644,8752.0
lr03_n1000,confirm,16.967173572827875,29.53862715958702,4.208081742785143,8.483586786413937,5.409504454594695,56.9692239072257,96.17586197379839,67.48037599269308,40.31180400890869,8968.0
lr02_n1500,confirm,16.911151102760915,29.51075479828629,4.256710173267598,8.455575551380457,5.40931415389234,56.91347011596789,96.6602432715994,67.6404108538225,40.53452115812918,8968.0
leaves127,confirm,17.10208526713466,29.78704463845551,4.304929326842554,8.55104263356733,5.52095090045702,53.88046387154326,98.25880227299577,68.19722043419404,40.75723830734967,8968.0
control,confirm,16.98381550925868,29.55359119144183,4.182550225384237,8.49190775462934,5.377147252426492,58.05084745762712,95.5969747781073,67.56661242406228,41.42538975501114,8968.0
