,lgbm,lear,chronos,tft
2024-07-16,0.25,0.25,0.25,0.25
2024-07-17,0.25,0.25,0.25,0.25
2024-07-18,0.25,0.25,0.25,0.25
2024-07-19,0.25,0.25,0.25,0.25
2024-07-20,0.25,0.25,0.25,0.25
2024-07-21,0.25,0.25,0.25,0.25
2024-07-22,0.25,0.25,0.25,0.25
2024-07-23,0.25,0.25,0.25,0.25
2024-07-24,0.25,0.25,0.25,0.25
2024-07-25,0.25,0.25,0.25,0.25
2024-07-26,0.25,0.25,0.25,0.25
2024-07-27,0.25,0.25,0.25,0.25
2024-07-28,0.25,0.25,0.25,0.25
2024-07-29,0.25,0.25,0.25,0.25
2024-07-30,0.25,0.25,0.25,0.25
2024-07-31,0.25,0.25,0.25,0.25
2024-08-01,0.25,0.25,0.25,0.25
2024-08-02,0.25,0.25,0.25,0.25
2024-08-03,0.25,0.25,0.25,0.25
2024-08-04,0.25,0.25,0.25,0.25
2024-08-05,0.25,0.25,0.25,0.25
2024-08-06,0.25,0.25,0.25,0.25
2024-08-07,0.25,0.25,0.25,0.25
2024-08-08,0.25,0.25,0.25,0.25
2024-08-09,0.25,0.25,0.25,0.25
2024-08-10,0.25,0.25,0.25,0.25
2024-08-11,0.25,0.25,0.25,0.25
2024-08-12,0.25,0.25,0.25,0.25
2024-08-13,0.25,0.25,0.25,0.25
2024-08-14,0.25,0.25,0.25,0.25
2024-08-15,0.25,0.25,0.25,0.25
2024-08-16,0.25,0.25,0.25,0.25
2024-08-17,0.25,0.25,0.25,0.25
2024-08-18,0.25,0.25,0.25,0.25
2024-08-19,0.25,0.25,0.25,0.25
2024-08-20,0.25,0.25,0.25,0.25
2024-08-21,0.25,0.25,0.25,0.25
2024-08-22,0.25,0.25,0.25,0.25
2024-08-23,0.25,0.25,0.25,0.25
2024-08-24,0.25,0.25,0.25,0.25
2024-08-25,0.25,0.25,0.25,0.25
2024-08-26,0.25,0.25,0.25,0.25
2024-08-27,0.25,0.25,0.25,0.25
2024-08-28,0.25,0.25,0.25,0.25
2024-08-29,0.25,0.25,0.25,0.25
2024-08-30,0.25,0.25,0.25,0.25
2024-08-31,0.25,0.25,0.25,0.25
2024-09-01,0.25,0.25,0.25,0.25
2024-09-02,0.2588389061612572,0.2541057072953781,0.25603465593710606,0.2310207306062585
2024-09-03,0.2580236542615089,0.2541350176428819,0.25670234081928484,0.23113898727632426
2024-09-04,0.25692258913208843,0.2519074914826618,0.26061813870634826,0.2305517806789015
2024-09-05,0.2564517548864042,0.25147461701754453,0.2618529316972062,0.23022069639884507
2024-09-06,0.25697518926758744,0.2531556471458945,0.25821470747420794,0.23165445611231003
2024-09-07,0.256972336725693,0.2533542161613814,0.2579645066676047,0.23170894044532084
2024-09-08,0.25776377493949804,0.25380634615350595,0.258405958282419,0.23002392062457694
2024-09-09,0.2588002578306007,0.2554910355543567,0.26004037311152095,0.2256683335035217
2024-09-10,0.259319309907743,0.2559385253126257,0.2584980295767192,0.22624413520291212
2024-09-11,0.260110611762292,0.2556813929032123,0.25677820808830837,0.22742978724618723
2024-09-12,0.2599722265586861,0.2563780501870356,0.2564898306432462,0.2271598926110322
2024-09-13,0.26053852996134924,0.2566817200564468,0.2555850372918547,0.22719471269034924
2024-09-14,0.26088476112865017,0.25785038613523686,0.2522589039467409,0.22900594878937203
2024-09-15,0.2631342015169654,0.25992370570629814,0.25060835232101597,0.22633374045572058
2024-09-16,0.2659103218488217,0.2615179762195264,0.24761869989630153,0.2249530020353504
2024-09-17,0.26904162261097475,0.26133418817671394,0.24451159530597483,0.22511259390633642
2024-09-18,0.27005058504923213,0.2607286245333744,0.24326593800307234,0.225954852414321
2024-09-19,0.26978325309180273,0.26158675310757623,0.2425858067596897,0.22604418704093124
2024-09-20,0.2689974807994205,0.2634304851874372,0.2415707249832977,0.2260013090298445
2024-09-21,0.2688265055412677,0.26192071689722685,0.2432034376986472,0.22604933986285816
2024-09-22,0.26928395700612023,0.26107788310045993,0.243513302869295,0.22612485702412474
2024-09-23,0.26990557301158513,0.25989320588891146,0.24506131174147208,0.2251399093580314
2024-09-24,0.2702019400561174,0.2612312335246711,0.24547732757028176,0.22308949884892965
2024-09-25,0.27100774076713047,0.26122960735604916,0.24366832398144822,0.22409432789537218
2024-09-26,0.26990366968355184,0.260397791583141,0.24515906551939295,0.22453947321391404
2024-09-27,0.2700235845426023,0.2604752121823196,0.24659191988736684,0.22290928338771124
2024-09-28,0.26757442274424265,0.25939054631000297,0.24899104466505545,0.22404398628069908
2024-09-29,0.2677045035597251,0.2593025875980812,0.2465731356343589,0.2264197732078348
2024-09-30,0.2672051648139714,0.2601376624569086,0.2453600022326749,0.22729717049644518
2024-10-01,0.26804321763105265,0.26034410864565743,0.24380399865720312,0.22780867506608668
