feature,delta_mae,mae
res_forecast,16.374522381159988,36.001778267136324
tso_forecast,8.45779159024909,28.085047476225427
calendar,1.2181496440039687,20.845405529980304
cal:is_weekend,0.5630920908848402,20.190347976861176
cal:is_holiday,0.48131704674825926,20.108572932724595
price_lag168,0.3957194270469522,20.022975313023288
cal:doy_sin,0.08822022263650453,19.71547610861284
cal:is_bridge_day,0.028028427781880083,19.655284313758216
baseline,0.0,19.627255885976336
cal:hour_sin,0.0,19.627255885976336
cal:hour_cos,0.0,19.627255885976336
cal:doy_cos,-0.12145479233176815,19.505801093644568
