alpha,n_active,features
0.0001,25,25
0.00012648552168552957,25,25
0.00015998587196060574,25,25
0.00020235896477251576,25,25
0.0002559547922699536,25,25
0.00032374575428176434,25,25
0.00040949150623804275,25,25
0.0005179474679231213,25,25
0.0006551285568595509,25,25
0.0008286427728546842,25,25
0.0010481131341546852,25,25
0.0013257113655901094,25,25
0.0016768329368110084,25,25
0.0021209508879201904,25,25
0.002682695795279727,25,25
0.00339322177189533,25,25
0.004291934260128779,25,25
0.005428675439323859,25,25
0.006866488450042998,25,25
0.008685113737513529,25,25
0.010985411419875584,25,25
0.013894954943731374,25,25
0.01757510624854793,25,25
0.022229964825261957,25,25
0.028117686979742307,25,25
0.03556480306223129,25,25
0.04498432668969444,25,25
0.05689866029018299,25,25
0.07196856730011521,25,25
0.09102981779915217,25,25
0.11513953993264481,25,25
0.14563484775012445,25,25
0.18420699693267165,25,25
0.2329951810515372,25,25
0.29470517025518095,25,25
0.3727593720314942,25,25
0.47148663634573945,25,25
0.5963623316594643,25,25
0.7543120063354622,25,25
0.9540954763499944,25,25
1.2067926406393288,24,24
1.5264179671752334,24,24
1.9306977288832496,24,24
2.44205309454865,24,24
3.088843596477485,22,22
3.906939937054621,21,21
4.941713361323838,20,20
6.250551925273976,18,18
7.9060432109077015,17,17
10.0,16,16
