group,seed,mae,rmae,coverage_80_pct,spike_mae,n_hours,mean_val_pinball,wall_min
full,42,23.005675378186364,0.8237761814147508,69.29945054945054,80.20405903726747,17472,0.13270596861839296,13.1
calendar,42,23.94356704919766,0.8573597561903458,70.82760989010988,79.76457001675185,17472,0.13240177869796754,16.3
res_fcst,42,29.561086529558832,1.058509197381831,74.75961538461539,95.85351151630043,17472,0.17184841960668565,0.8
tso_load,42,23.52350977159682,0.8423185468179142,71.93795787545788,83.64502010912864,17472,0.13765873193740844,0.9
anchor168,42,24.24049168030421,0.8679918908597266,68.08608058608058,86.67506944075875,17472,0.13523012399673462,0.8
encoder,42,23.124390982821748,0.8280270928030601,72.29281135531136,78.63475166547762,17472,0.13458695590496064,1.1
full,7,24.002252176227152,0.859461125050659,67.48511904761905,80.3469247405098,17472,0.131849707365036,16.5
calendar,7,23.922743456127883,0.8566141149648496,72.24702380952381,78.48263314323512,17472,0.1342778319120407,17.9
res_fcst,7,29.70706482028786,1.0637363179479256,73.1856684981685,96.43712323361186,17472,0.17196613430976868,6.2
tso_load,7,24.092520814614417,0.862693421125856,70.2209249084249,79.75616706865604,17472,0.13526308357715608,16.0
anchor168,7,24.35779665002019,0.8721922909099347,65.9283424908425,86.13547817099287,17472,0.1375723424553871,0.9
encoder,7,23.239637079998687,0.8321537697336313,73.66071428571429,77.91615467481809,17472,0.1329095819592476,1.1
full,2026,23.812308801416947,0.8526597238566499,68.85302197802197,78.59547199065953,17472,0.13361896365880965,0.9
calendar,2026,23.18171593983968,0.8300797573484694,70.97641941391942,75.88951656140779,17472,0.13197286635637284,0.9
res_fcst,2026,30.244422887035338,1.082977777674745,73.92971611721612,96.55711977594233,17472,0.17156394809484482,16.4
tso_load,2026,24.622207918114718,0.881660202682717,69.82600732600733,81.9950939030069,17472,0.13980592012405396,1.0
anchor168,2026,24.80098769607998,0.8880618631593333,67.4393315018315,83.99333309531485,17472,0.1382754021883011,0.9
encoder,2026,23.327806714585414,0.8353109056882426,73.6092032967033,79.65131495844581,17472,0.13391642272472382,1.1
solar,42,26.422134540377957,0.9461111112233405,71.53731684981685,81.02203736154655,17472,0.15386751413345337,0.9
wind_on,42,27.61605588311241,0.9888624735919463,73.99839743589743,92.62718899654853,17472,0.1564710620045662,0.8
solar,7,26.808283230498596,0.959938138171113,67.78846153846155,82.72076663857467,17472,0.15517720967531204,0.9
wind_on,7,27.96497038655228,1.001356236655145,72.56753663003663,95.57397467257503,17472,0.1574586483836174,0.8
solar,2026,26.78802583778298,0.9592127711761272,67.75412087912088,83.24792775378893,17472,0.15369853466749192,1.0
wind_on,2026,27.581427355065887,0.9876225118810537,73.42605311355311,88.83781266201551,17472,0.15737583369016647,0.9
