day_age,mean_attention_last_layer
55,0.016950186
54,0.016279453
53,0.016063234
52,0.016634114
51,0.016570512
50,0.01693207
49,0.016585937
48,0.01698976
47,0.017275555
46,0.017085021
45,0.017349843
44,0.018061431
43,0.019340413
42,0.019163173
41,0.017925706
40,0.018307215
39,0.01775633
38,0.018238742
37,0.018612413
36,0.017531535
35,0.016682487
34,0.016298411
33,0.015998272
32,0.016213827
31,0.016768651
30,0.016292222
29,0.016283784
28,0.01598916
27,0.016566923
26,0.017064549
25,0.017449627
24,0.017276796
23,0.017420778
22,0.017590089
21,0.016776096
20,0.01635203
19,0.017900541
18,0.017501688
17,0.018368034
16,0.019371627
15,0.018600205
14,0.017805984
13,0.019374058
12,0.020162897
11,0.019383347
10,0.01988166
9,0.019325668
8,0.019777367
7,0.020384772
6,0.019526033
5,0.018007377
4,0.018949034
3,0.018445903
2,0.01954938
1,0.019950287
0,0.021057805
