,PC1,PC2,PC3,PC4,PC5
hour_local,0.1708106582833695,0.2041167323127271,0.12813732061953195,-0.13228102326826174,-0.49516203363880373
day_of_week,-0.0789800203890349,-0.044057822117444204,0.5562608265483768,-0.013775803730980321,0.016723441116799378
month,-0.07350815041390062,0.028982902861325432,-0.055261100936228505,-0.6240853975242463,0.08466478030108208
is_weekend,-0.10532959076170312,-0.05592814347940793,0.5574705092884216,-0.005476753625093541,0.010278833759045009
is_holiday,-0.012445909590886612,0.0010379998267185688,0.00868715190162842,0.05312294785169137,-0.023209664708838094
is_bridge_day,-0.00014857524014279125,0.005742615701343358,-0.04610230641638902,0.006011876456528318,-0.007779523513873919
hour_sin,-0.14290372777267732,-0.2128564540618317,-0.1298343141907397,0.11442842307270835,0.5330846047360007
hour_cos,-0.17447320854690354,-0.2270633732600828,-0.10570230276376145,0.004423496797498829,-0.5305638261535125
doy_sin,0.08006537473234963,-0.028448615967699483,0.03367148655514869,0.6358665780139914,-0.08654595790908808
doy_cos,0.21993677200300726,-0.31271836111327644,0.06023862537487278,-0.1014055662433459,0.027255272242175107
load_lag_48h,0.27877667292774694,0.024133770717208288,0.3313420722765346,-0.07615295618210242,0.03399811251563543
load_lag_72h,0.27590131465391515,0.02253006880800163,0.3090574638848722,-0.07096850737549115,0.03150997433030456
load_lag_168h,0.3433389385895466,0.07300652989350832,-0.10582718509084525,-0.05914208195614135,0.019560023960349573
load_lag_336h,0.3370844488227477,0.08490735827899275,-0.12434966160596536,-0.02359740780454941,0.008388704966866844
load_lag_504h,0.3276246645170653,0.10144058427123889,-0.13703464568592286,0.019384654547641884,0.0004181715176819734
load_lag_672h,0.3196151355151633,0.10980052971274258,-0.135559535690236,0.05994985400231592,-0.006998271921413309
load_mean_7d,0.23534191077928332,-0.2711934362071946,0.10351526285725929,0.02102132992833648,0.02860887103163374
temperature_2m,-0.16943511465311145,0.3910807476476327,-0.021909954270331728,-0.11199128463946774,-0.005350237995545536
wind_speed_10m,0.052316875712158435,0.08233853056745238,0.08411585075418712,-0.06481482498038403,0.18807157948513212
cloud_cover,0.08598351202053921,-0.14500968824713423,0.01560210965340594,-0.191414984152503,0.14459835520820044
shortwave_radiation,0.027144279170943246,0.3679752271145233,0.09249325079491093,0.13265028663914338,0.3300217842093488
relative_humidity_2m,0.0037426632218416005,-0.3838166899974137,-0.09282864043294271,-0.22759816471747665,0.0411936804514447
heating_degrees,0.18740364055479236,-0.3514463302631502,0.058406731740521224,0.12453169530377897,0.012659793195433602
cooling_degrees,-0.024908159517726562,0.23431973635907044,0.09149388732056449,-0.01430375564303325,0.03335403451584565
tso_forecast_mw,0.34166537421293136,0.07423708321234686,-0.09350986046450702,-0.06651183170980507,0.033015979653796636
