config,seed,d_model,lstm_layers,dropout,lr,mae,rmae,coverage_80_pct,spike_mae,n_hours,wall_min
hpo365_base,42,128.0,2.0,0.183,0.0017,18.468757575448787,0.6737951646294895,80.20547945205479,73.88714122127723,8760.0,16.6
dr010,42,128.0,2.0,0.1,0.0017,18.349342781206243,0.6694385580403808,80.62785388127854,73.17211687479933,8760.0,16.4
dr030,42,128.0,2.0,0.3,0.0017,17.968696953899784,0.6555514669987814,82.27168949771689,75.37629170317628,8760.0,17.4
d192,42,192.0,2.0,0.183,0.0017,18.3405149271891,0.6691164916898693,80.44520547945206,75.87276377778076,8760.0,30.0
d64,42,64.0,2.0,0.183,0.0017,19.21810019230951,0.7011334103035111,80.39954337899543,78.22001357753527,8760.0,11.4
lstm1,42,128.0,1.0,0.183,0.0017,18.709309868660142,0.6825712271959185,78.9041095890411,76.02512443716667,8760.0,11.5
lr08,42,128.0,2.0,0.183,0.0008,19.099578371701178,0.6968093820464536,78.67579908675799,75.23754890407058,8760.0,16.5
lr30,42,128.0,2.0,0.183,0.003,18.97794112439787,0.6923716937646627,79.44063926940639,74.43067931850206,8760.0,18.9
dr030,7,128.0,2.0,0.3,0.0017,20.173056806782068,0.7359730656855228,76.23287671232876,77.45025858212823,8760.0,17.1
dr030,2026,128.0,2.0,0.3,0.0017,19.429319777083723,0.7088393284907257,79.07534246575342,73.23818346276131,8760.0,15.9
dr030_ens3,-1,128.0,2.0,0.3,0.0017,18.36323548096609,0.6699454050160689,81.9634703196347,74.84902812243595,8760.0,0.0
